device,model,size,batch_size,ms / img (sync),std dev (sync),ms / img (no sync),std dev (no sync)
GTX 1080 Ti,SWAGenerator,1024,10,27.139,0.272,22.167,0.121
GTX 1080 Ti,SWAGenerator,256,12,10.469,0.145,10.228,0.124
GTX 1080 Ti,SWAGenerator,512,12,15.773,0.219,14.440,0.117
GTX 1080 Ti,SWAGenerator,1024,12,26.981,0.310,21.917,0.144
GTX 1080 Ti,SWAGenerator,256,14,10.470,0.146,10.180,0.138
GTX 1080 Ti,SWAGenerator,512,14,15.739,0.186,14.456,0.117
GTX 1080 Ti,SWAGenerator,1024,14,26.932,0.123,21.884,0.161
GTX 1080 Ti,StyleMapGenerator,256,1,91.204,0.132,88.948,4.567
GTX 1080 Ti,StyleMapGenerator,512,1,164.532,0.798,159.290,9.074
GTX 1080 Ti,StyleMapGenerator,1024,1,307.828,0.239,297.528,18.351
GTX 1080 Ti,StyleMapGenerator,256,2,67.331,0.566,65.801,2.983
GTX 1080 Ti,StyleMapGenerator,512,2,115.029,0.600,112.441,5.296
GTX 1080 Ti,StyleMapGenerator,1024,2,207.985,0.675,200.814,10.926
GTX 1080 Ti,StyleMapGenerator,256,4,56.139,0.341,55.216,2.149
GTX 1080 Ti,StyleMapGenerator,512,4,91.843,0.437,89.603,3.816
GTX 1080 Ti,StyleMapGenerator,1024,4,161.223,0.481,153.992,7.183
GTX 1080 Ti,StyleMapGenerator,256,8,49.288,0.336,48.327,1.780
GTX 1080 Ti,StyleMapGenerator,512,8,78.722,0.249,76.913,2.953
GTX 1080 Ti,StyleMapGenerator,1024,8,,,,
GTX 1080 Ti,StyleMapGenerator,256,10,46.716,0.121,46.040,1.628
GTX 1080 Ti,StyleMapGenerator,512,10,75.098,0.133,73.335,2.770
GTX 1080 Ti,StyleMapGenerator,1024,10,,,,
GTX 1080 Ti,StyleMapGenerator,256,12,44.332,0.149,43.539,1.606
GTX 1080 Ti,StyleMapGenerator,512,12,71.980,0.173,69.817,2.461
GTX 1080 Ti,StyleMapGenerator,1024,12,,,,
GTX 1080 Ti,StyleMapGenerator,256,14,42.524,0.143,41.621,1.486
GTX 1080 Ti,StyleMapGenerator,512,14,,,,
GTX 1080 Ti,StyleMapGenerator,1024,14,,,,
GTX 1080 Ti,MobileStyleGenerator,256,1,16.597,0.789,15.980,0.587
GTX 1080 Ti,MobileStyleGenerator,512,1,26.766,4.456,23.089,1.302
GTX 1080 Ti,MobileStyleGenerator,1024,1,51.981,2.294,46.244,4.433
GTX 1080 Ti,MobileStyleGenerator,256,2,9.222,0.836,8.108,0.506
GTX 1080 Ti,MobileStyleGenerator,512,2,16.385,1.459,14.543,0.214
